Area;Perimeter;MajorAxisLength;MinorAxisLength;Class
6,1076;9,82932;4,174746289;1,872771103;HOROZ
4,2343;7,77505;2,872648556;1,887754963;SIRA
6,364;9,7703;3,801375465;2,14574044;CALI
3,0638;6,57507;2,47174919;1,583968419;DERMASON
3,2556;6,61061;2,409902865;1,722914798;DERMASON
5,2233;8,63826;3,302349581;2,023343202;SIRA
5,496;9,32504;3,704222594;1,900218576;HOROZ
2,9123;6,26011;2,291810558;1,620426957;DERMASON
8,3444;11,0653;4,230564274;2,529254619;CALI
8,5631;11,29837;4,419871146;2,490961065;CALI
3,0495;6,42719;2,285183296;1,701855885;DERMASON
3,0409;6,42868;2,364930792;1,639142466;DERMASON
4,207;7,63489;2,890223734;1,861234339;DERMASON
4,9975;8,46403;3,123835504;2,046562601;SIRA
4,5352;7,93284;3,019931577;1,921048512;SIRA
3,0687;6,55628;2,490922054;1,573526461;DERMASON
5,0709;8,95149;3,612876602;1,794335155;HOROZ
5,1828;9,32413;3,79141053;1,746356099;HOROZ
5,7074;9,53638;3,728287126;1,978380897;HOROZ
3,1249;6,48912;2,37887999;1,67564227;DERMASON
4,0662;7,67554;2,792703195;1,858498523;SIRA
3,5364;6,92505;2,587961821;1,742702258;DERMASON
4,3787;7,93258;3,089660848;1,811500446;SIRA
3,7556;7,21732;2,680902406;1,791175572;DERMASON
5,589;9,28849;3,536603059;2,030297382;SIRA
2,6811;6,07041;2,271015318;1,51194627;DERMASON
8,2115;11,05638;4,491585197;2,343010258;CALI
6,6106;10,47596;4,320923916;1,953759266;HOROZ
4,2454;7,64421;2,850157506;1,900534166;SIRA
4,157;7,62263;2,763994272;1,923482468;SIRA
4,3999;7,90708;2,89945887;1,960156435;SIRA
5,5749;9,26981;3,76674388;1,887362803;HOROZ
3,5353;6,89072;2,520301948;1,791753345;DERMASON
2,7448;6,1537;2,287343413;1,529701422;DERMASON
6,6242;10,19994;4,174311734;2,029145571;HOROZ
3,1376;6,50947;2,341331124;1,710998;DERMASON
5,9758;9,53234;3,509536995;2,200849284;CALI
7,1156;10,23316;3,88469527;2,341431002;CALI
6,1876;9,54989;3,765905518;2,097023092;CALI
3,5734;7,04049;2,55609616;1,789039583;SIRA
4,5887;8,39116;3,397362095;1,730062586;HOROZ
7,4521;10,37103;4,050652845;2,364519477;CALI
5,2369;8,703;3,401124416;1,968031072;SIRA
6,7044;9,81016;3,768722117;2,282517453;CALI
4,4535;8,56043;3,468856798;1,656776125;HOROZ
3,9654;7,99719;2,785114445;1,817468511;SIRA
5,6413;9,29481;3,778808379;1,91039673;HOROZ
3,0839;6,51896;2,354711585;1,675562216;DERMASON
2,4139;5,75109;2,150774901;1,431321486;DERMASON
5,6192;9,63141;3,757579382;1,910770265;HOROZ
7,5914;10,48995;4,158197526;2,335319691;CALI
3,5998;7,0635;2,664221785;1,723450703;DERMASON
6,7889;10,09017;3,817257559;2,299273035;CALI
5,7849;9,38662;3,643486399;2,0318628;HOROZ
5,3566;9,21082;3,58423533;1,929712758;HOROZ
6,5268;10,2572;4,152303341;2,019397597;HOROZ
5,1806;8,64849;3,285508407;2,016734597;SIRA
4,0178;7,64427;2,82947464;1,818921939;SIRA
4,9905;8,52703;3,213205714;1,996842878;SIRA
6,2386;10,09094;4,170210437;1,923463003;HOROZ
6,1349;9,97884;4,081775015;1,928648759;HOROZ
4,896;8,75826;3,412162902;1,887558859;HOROZ
4,6782;7,9873;3,002030388;1,98884438;SIRA
3,2213;6,66867;2,52246997;1,629644259;DERMASON
5,3966;9,2974;3,92151163;1,75599397;HOROZ
8,2731;11,1105;4,346092631;2,440163728;CALI
3,7084;7,30084;2,713184832;1,754277553;SIRA
6,7317;10,58043;4,087963217;2,16846462;HOROZ
4,3775;7,83151;2,899181162;1,928547699;SIRA
4,6994;8,00571;2,99435476;2,002043522;SIRA
4,9253;8,69377;3,550271231;1,769677639;HOROZ
7,8223;10,92091;4,189257286;2,403939989;CALI
3,3482;6,69773;2,4188144;1,767526218;DERMASON
3,8496;7,2703;2,686302011;1,826817648;SIRA
2,7429;6,05024;2,097789848;1,673613611;DERMASON
3,5411;7,04177;2,661215569;1,696106601;DERMASON
4,7009;8,02977;2,956113614;2,039232482;SIRA
4,4047;7,78094;2,870022639;1,961640202;SIRA
4,4256;7,83061;2,928287961;1,939814589;SIRA
6,7397;10,0063;3,852596558;2,256963263;CALI
7,6452;10,80322;4,192391272;2,351024426;CALI
4,9325;8,29603;3,080005853;2,044361713;SIRA
4,2116;7,66156;2,914779223;1,842718623;SIRA
3,7367;7,10338;2,652768443;1,7971006;DERMASON
3,1214;6,57852;2,507045799;1,588731626;DERMASON
2,5339;5,93553;2,22598198;1,451640073;DERMASON
3,3914;6,8612;2,614687853;1,657378041;DERMASON
5,4508;9,67731;4,042812292;1,722055811;HOROZ
6,5181;9,77089;3,680482822;2,267141993;CALI
7,7106;10,78866;4,244677072;2,332611548;CALI
2,9281;6,44304;2,491192975;1,501236534;DERMASON
2,6144;6,24429;2,39030731;1,39827446;DERMASON
4,7502;8,68421;3,443308603;1,771429657;HOROZ
3,8376;7,25063;2,670181216;1,835968536;DERMASON
4,594;8,13641;3,023962409;1,942711931;SIRA
2,6185;6,00178;2,180748991;1,533052494;DERMASON
3,8611;7,41171;2,840497023;1,740405903;SIRA
2,6307;6,06265;2,17531817;1,546776643;DERMASON
3,9887;7,64323;2,791330622;1,832211903;SIRA
5,0724;8,49547;3,163740285;2,051892038;SIRA
3,2853;6,86741;2,628971066;1,595824631;DERMASON
3,9528;7,44617;2,847914944;1,773370381;DERMASON
5,4503;9,18795;3,699598909;1,883030064;HOROZ
8,3592;11,1264;4,305926125;2,492471351;CALI
3,5616;7,02212;2,730505738;1,662604174;DERMASON
3,4045;6,81927;2,521676497;1,723621003;DERMASON
3,2071;6,70251;2,560466416;1,599227739;DERMASON
4,6892;8,34759;3,306503749;1,815436482;HOROZ
7,7538;10,59981;4,144880427;2,412434015;CALI
6,6884;10,49722;4,415267425;1,940042447;HOROZ
8,4973;11,11998;4,355297904;2,50374737;CALI
4,3399;7,77006;2,90157766;1,912833419;SIRA
4,3028;8,18531;3,039208395;1,813180291;SIRA
4,6549;8,02162;2,985930059;1,991409119;SIRA
5,4717;9,22315;3,786974903;1,855740586;HOROZ
4,0619;7,50107;2,764574257;1,873624136;SIRA
3,2858;6,69885;2,47760391;1,691604879;DERMASON
3,9812;7,51526;2,844449973;1,78767467;SIRA
6,6124;9,72564;3,771940965;2,244454059;CALI
3,4146;7,89379;2,476608668;1,76137973;SIRA
5,0725;8,48659;3,270140386;1,985628183;SIRA
4,6434;8,10154;3,093828063;1,932529185;SIRA
7,7949;10,8424;4,343775102;2,303172675;CALI
3,2913;6,70212;2,489147904;1,690227513;DERMASON
3,8374;7,42778;2,722549253;1,802852668;DERMASON
5,0119;8,35834;3,13567906;2,042503522;SIRA
4,9194;8,38722;3,192038112;1,970785415;SIRA
6,5198;9,9149;3,911459696;2,128302058;CALI
3,5252;6,95347;2,387839017;1,889907436;DERMASON
4,3914;8,33354;3,417289773;1,646392878;HOROZ
2,9045;6,30965;2,383250991;1,557520506;DERMASON
3,2851;6,65889;2,313076094;1,819489977;DERMASON
5,4282;8,79376;3,275206119;2,115995489;SIRA
4,0369;7,57076;2,855902338;1,806802637;SIRA
8,7987;11,47724;4,467212127;2,538840322;CALI
3,0609;6,43215;2,379207698;1,640097467;DERMASON
3,6455;7,18497;2,787936452;1,672160167;DERMASON
3,0848;6,47564;2,414743515;1,631920414;DERMASON
5,4542;9,21999;3,814441609;1,829999768;HOROZ
7,9463;10,68778;4,126149753;2,469726133;CALI
4,1469;7,92831;3,168884731;1,675176274;HOROZ
4,409;7,89911;2,899401635;1,944578348;SIRA
4,8536;8,27083;3,112252589;1,989350601;SIRA
2,9325;6,35344;2,345018263;1,596691514;DERMASON
4,5679;8,14728;2,876687776;2,028300429;SIRA
4,214;7,79769;2,896573573;1,87096078;SIRA
2,9208;6,3959;2,436528461;1,534431973;DERMASON
4,8396;8,61023;3,418154886;1,814293033;HOROZ
4,8195;8,35429;3,197261985;1,935068667;SIRA
5,1712;8,99975;3,688724141;1,799895824;HOROZ
2,2455;5,61438;2,102269269;1,37798038;DERMASON
6,3819;9,66163;3,647912673;2,246349532;CALI
4,278;8,01214;3,22594105;1,69394536;HOROZ
3,696;7,06565;2,568048435;1,838085404;DERMASON
2,9863;6,2994;2,284820199;1,667828307;DERMASON
8,2583;11,19357;4,212621199;2,514297785;CALI
4,141;7,68075;2,87390257;1,843639318;SIRA
3,9997;7,43153;2,743001734;1,860736166;DERMASON
6,8609;9,96685;3,802810679;2,310966916;CALI
4,072;7,6294;2,999816573;1,735538994;DERMASON
3,8659;7,17157;2,572711661;1,92239816;DERMASON
3,4572;6,96203;2,685661806;1,641571002;DERMASON
6,2761;9,8359;3,985037819;2,015787917;HOROZ
4,4983;7,86191;2,913153214;1,969275925;SIRA
4,5915;8,17888;3,240965544;1,815498296;HOROZ
4,9033;8,31992;3,094932064;2,03178182;SIRA
2,6466;6,10166;2,221737253;1,522590895;DERMASON
4,946;8,33355;3,10731804;2,054124107;SIRA
5,0299;8,95206;3,667064776;1,763450537;HOROZ
4,6426;8,19412;3,09011957;1,91875701;SIRA
3,8771;7,40232;2,75719567;1,794099111;SIRA
5,8699;9,739;3,912782094;1,936883488;HOROZ
3,5747;7,06533;2,67541086;1,704508207;DERMASON
5,2151;9,04977;3,718485703;1,789904525;HOROZ
4,3912;8,44203;3,543024896;1,596834077;HOROZ
6,6957;10,57414;4,184892634;2,041611367;HOROZ
4,3437;7,78529;2,926484811;1,89956042;SIRA
2,6593;6,03549;2,22267753;1,525197646;DERMASON
4,3795;7,7666;2,884664755;1,941309338;SIRA
2,7767;6,18733;2,331234501;1,52147949;DERMASON
6,5019;9,85505;3,842500817;2,175845569;CALI
4,4164;7,93897;3,010864485;1,878248887;SIRA
5,2566;8,67632;3,339816708;2,018821809;SIRA
3,7085;7,15857;2,688633818;1,76210685;DERMASON
5,3978;9,24848;3,661477398;1,894386666;HOROZ
3,4459;6,98401;2,540993138;1,730599093;SIRA
3,61;7,15767;2,621318324;1,761157026;SIRA
3,3954;7,1675;2,773684803;1,563563259;HOROZ
5,9308;9,97744;4,073581419;1,863542706;HOROZ
4,8099;8,57135;3,326926613;1,854098015;SIRA
3,0215;6,54735;2,539590011;1,518413753;DERMASON
3,5995;6,96854;2,574429626;1,78548674;DERMASON
4,7121;8,36282;3,299991624;1,820643942;SIRA
3,9231;7,33828;2,720264489;1,843360256;DERMASON
2,944;6,45115;2,457222954;1,527833896;DERMASON
5,6514;9,39837;3,787018614;1,927573674;HOROZ
6,3717;10,05087;4,084304507;1,996062077;HOROZ
2,9602;6,38641;2,356881596;1,601225468;DERMASON
5,949;9,70189;4,045972719;1,885002595;HOROZ
5,186;9,03986;3,730972343;1,799949951;HOROZ
4,4492;8,22871;3,369793352;1,686467559;HOROZ
2,8736;6,5279;2,451565597;1,503931283;DERMASON
